city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Grand,0,FR,1563064049,87,48.39,5.49,64.4,5.82
Ponta,86,BR,1563063977,88,-0.53,-65.05,75.29,2.15
Alta,79,NO,1563064534,66,69.97,23.27,51.8,8.05
Narsaq,59,GL,1563064266,50,60.91,-46.05,55.4,5.82
Hermanus,0,ZA,1563064534,96,-34.42,19.24,54.0,9.66
Juneau,90,US,1563064534,82,58.3,-134.42,62.01,11.41
Pangkalanbuun,91,ID,1563064535,91,-2.68,111.62,71.69,3.69
Pochutla,75,MX,1563064288,83,15.74,-96.47,84.2,0.98
Butaritari,79,KI,1563063961,64,3.07,172.79,84.11,6.69
Klaksvik,90,FO,1563064535,100,62.23,-6.59,50.0,3.36
Constitucion,75,MX,1563064535,29,23.99,-104.67,77.0,10.29
Hobyo,55,SO,1563064535,75,5.35,48.53,77.99,21.32
Shwebo,93,MM,1563064536,75,22.57,95.7,79.61,14.72
Massaguet,20,TD,1563064536,88,12.48,15.44,77.0,6.93
Clyde,100,NZ,1563064536,82,-45.19,169.32,46.99,1.01
Nanortalik,33,GL,1563064215,84,60.14,-45.24,42.53,2.73
Takoradi,9,GH,1563064228,95,4.89,-1.75,70.61,1.88
Kupavna,93,RU,1563064537,87,55.75,38.12,55.4,0.22
Buyabod,98,PH,1563064537,76,13.47,122.05,82.49,7.34
Mahebourg,75,MU,1563064230,56,-20.41,57.7,71.6,6.93
Tuktoyaktuk,75,CA,1563063949,63,69.44,-133.03,62.6,8.05
Bilibino,14,RU,1563064537,44,68.06,166.44,71.33,10.96
Brokopondo,20,SR,1563064537,94,5.06,-54.98,77.0,4.7
Souillac,0,FR,1563064269,49,45.6,-0.6,69.8,6.93
Komsomolskiy,100,RU,1563064538,90,67.55,63.78,55.31,11.61
Airai,0,TL,1563064235,52,-8.93,125.41,76.01,2.48
Manaquiri,20,BR,1563064538,74,-3.43,-60.46,84.2,3.36
Banjar,65,ID,1563064538,89,-7.37,108.54,68.99,1.61
Iberia,32,PE,1563064538,70,-11.41,-69.49,75.11,2.66
Caravelas,0,BR,1563064538,81,-17.73,-39.27,70.97,6.55
Cidreira,100,BR,1563064185,94,-30.17,-50.22,56.75,8.23
Ust-Uda,80,RU,1563064539,59,54.17,103.03,64.13,2.95
Hearst,54,CA,1563064539,57,49.69,-83.67,66.29,5.86
Sobolevo,28,RU,1563064539,86,54.43,31.9,46.85,2.82
Manta,100,RO,1563064539,82,45.1,24.1,56.21,0.83
West,40,US,1563064540,55,31.8,-97.09,93.2,9.17
Marawi,100,PH,1563064540,84,8.0,124.29,77.0,5.01
Meulaboh,25,ID,1563064543,78,4.14,96.13,81.41,5.59
Saint-Leu,90,RE,1563064543,56,-21.15,55.28,68.0,8.05
Assiniboia,77,CA,1563064543,33,49.63,-105.99,88.79,6.26
Lagoa,0,PT,1563064387,88,37.14,-8.45,69.01,10.29
Dikson,3,RU,1563064234,95,73.51,80.55,33.17,3.0
Valparai,75,IN,1563064544,94,10.33,76.96,77.0,2.24
Ambon,0,FR,1563064544,87,47.55,-2.56,63.0,12.75
Huarmey,4,PE,1563064544,86,-10.07,-78.15,62.33,17.69
Port,72,CD,1563063993,61,-7.04,29.76,63.05,3.53
Feni,100,BD,1563064288,85,23.02,91.41,81.05,12.93
Tabou,45,CI,1563064276,89,4.42,-7.36,72.05,2.08
Sinnamary,20,GF,1563064545,80,5.38,-52.96,79.61,11.97
Jumilla,0,ES,1563064545,85,38.47,-1.33,78.01,2.62
Ada,1,US,1563064464,55,34.77,-96.68,90.0,4.7
Maragogi,4,BR,1563064545,93,-9.01,-35.22,70.61,2.64
Luderitz,0,NA,1563064546,100,-26.65,15.16,48.2,3.36
Port,72,CD,1563064248,61,-7.04,29.76,63.05,3.53
Boa,40,CM,1563064273,86,4.43,8.97,77.63,8.84
Castro,90,CL,1563064546,100,-42.48,-73.76,46.4,18.34
Flinders,0,AU,1563064264,58,-34.58,150.85,54.0,16.11
Bilma,6,NE,1563064546,27,18.69,12.92,92.21,8.14
Hamina,0,FI,1563064547,87,60.57,27.2,46.4,4.7
Palmer,75,AU,1563064547,93,-34.85,139.16,55.0,16.11
Sarkikaraagac,0,TR,1563064547,51,38.08,31.37,61.61,2.89
Bulawayo,0,ZW,1563064547,70,-20.16,28.59,48.83,9.78
Cocorit,20,MX,1563064548,28,27.57,-109.96,96.8,9.17
Kununurra,56,AU,1563064548,26,-15.77,128.74,71.6,13.87
Pizarro,100,CO,1563064548,78,4.95,-77.37,81.05,9.1
Port,72,CD,1563064248,61,-7.04,29.76,63.05,3.53
Kahului,20,US,1563063963,41,20.89,-156.47,91.4,29.97
Grindavik,90,IS,1563064145,93,63.84,-22.43,54.0,9.17
Darhan,38,MN,1563064548,69,49.49,105.92,65.03,6.53
Mongo,29,CD,1563064549,74,-5.62,14.6,70.97,4.27
Kitab,0,UZ,1563064549,49,39.12,66.88,71.6,6.93
Lavrentiya,0,RU,1563064264,50,65.58,-170.99,68.27,10.2
Sambava,18,MG,1563064549,93,-14.27,50.17,61.43,3.33
Tongren,100,CN,1563064550,90,27.72,109.18,70.61,0.47
Severo-Kurilsk,0,RU,1563064550,87,50.68,156.12,45.23,7.99
Campo,0,IT,1563064550,68,43.71,10.48,73.99,11.41
Pangnirtung,87,CA,1563064261,35,66.15,-65.72,56.21,4.83
Dickinson,1,US,1563064550,51,46.88,-102.79,88.0,11.41
Saint-Philippe,90,CA,1563063949,61,45.36,-73.48,78.01,14.99
Tasiilaq,0,GL,1563064270,86,65.61,-37.64,39.2,11.41
Itoman,40,JP,1563064477,79,26.12,127.67,87.8,14.99
Jerez,0,ES,1563064551,88,36.68,-6.14,69.8,5.82
Zambezi,0,ZM,1563064551,36,-13.55,23.12,53.87,4.14
Tuatapere,100,NZ,1563064551,95,-46.13,167.69,45.0,8.99
Padang,70,ID,1563064552,79,-0.92,100.36,82.31,11.14
Pantai,80,ID,1563064552,93,-3.17,116.06,72.95,3.29
Carnarvon,0,ZA,1563064552,25,-30.97,22.13,53.15,8.79
Yankton,1,US,1563064552,62,42.87,-97.4,86.0,9.17
Tiksi,100,RU,1563064262,89,71.64,128.87,49.01,13.02
Sitka,0,US,1563064250,47,37.17,-99.65,87.01,1.99
Aden,15,YE,1563064553,68,12.79,45.03,86.09,12.37
Petropavlovsk-Kamchatskiy,0,RU,1563064553,67,53.05,158.65,62.6,4.47
Japura,91,ID,1563064553,89,-0.42,102.29,73.67,2.51
Vermillion,1,US,1563064554,74,42.78,-96.93,86.0,6.93
Baghdad,0,IQ,1563064223,35,33.3,44.38,84.2,9.17
Chumikan,100,RU,1563064554,87,54.72,135.31,55.49,4.0
Cabo,75,ES,1563064554,100,43.18,-5.8,68.0,2.24
Bosaso,55,SO,1563064554,60,11.28,49.18,89.51,13.0
Matara,78,BI,1563064555,91,-3.48,29.48,50.45,1.45
Verkhovazhye,27,RU,1563064555,96,60.75,42.05,44.15,3.02
Ramona,1,US,1563064555,38,33.04,-116.87,91.4,9.17
Turinsk,56,RU,1563064555,87,58.04,63.7,65.75,8.75
Aasiaat,100,GL,1563064555,89,68.71,-52.87,42.35,9.84
Salamanca,75,MX,1563064556,47,20.57,-101.19,77.0,1.16
Sol-Iletsk,82,RU,1563064556,93,51.16,55.0,65.57,10.13
Lagoa,0,PT,1563064556,88,37.14,-8.45,69.01,10.29
Mys,22,RU,1563064252,78,62.06,48.62,46.13,2.1
Rocha,64,UY,1563064556,88,-34.48,-54.34,48.11,6.51
Dodola,0,BF,1563064557,87,10.12,-3.28,71.69,4.79
Saint-Pierre,20,FR,1563064557,87,48.95,4.24,59.0,10.29
Katsuura,75,JP,1563064557,94,33.93,134.5,75.99,9.17
Wajima,75,JP,1563064410,88,37.4,136.9,71.6,9.17
Nyimba,0,ZM,1563064557,67,-14.56,30.81,55.85,1.81
Rome,0,IT,1563064557,88,41.89,12.48,73.0,4.7
Yatou,40,CM,1563064558,100,3.63,9.81,75.2,1.12
Vaini,75,IN,1563064211,94,15.34,74.49,71.6,5.82
Abaza,99,RU,1563064558,89,52.65,90.1,60.17,1.12
Marystown,100,CA,1563064461,94,47.17,-55.16,54.23,13.02
Aklavik,75,CA,1563064558,37,68.22,-135.01,71.6,4.7
Tessalit,17,ML,1563064558,24,20.2,1.01,91.31,7.2
Antofagasta,90,CL,1563064559,71,-23.65,-70.4,55.4,10.29
Troitsko-Pechorsk,100,RU,1563064559,98,62.71,56.19,54.05,5.93
Goderich,6,CA,1563064559,71,43.74,-81.71,71.01,11.01
Kloulklubed,90,PW,1563064559,94,7.04,134.26,73.4,13.87
Vieste,20,IT,1563064560,93,41.88,16.18,69.01,8.05
Lata,16,IN,1563064560,89,30.78,78.62,36.95,2.19
Richards,1,US,1563064560,61,46.84,-95.91,84.0,5.82
Jamestown,93,AU,1563064560,87,-33.21,138.6,46.67,10.38
Weligama,92,LK,1563064560,76,5.97,80.42,83.21,11.83
Sur,21,OM,1563064560,76,22.57,59.53,77.27,20.47
Norman,1,US,1563064375,48,35.22,-97.44,89.6,11.41
Atbasar,0,KZ,1563064561,70,51.81,68.36,61.43,9.55
Rawson,1,AR,1563064561,49,-43.3,-65.11,47.57,9.86
Batticaloa,93,LK,1563064470,87,7.71,81.69,76.19,3.18
Faya,0,SA,1563064562,21,18.39,42.45,77.0,6.93
Almeirim,99,BR,1563064562,91,-1.53,-52.58,73.85,1.81
Viesca,75,MX,1563064562,30,25.34,-102.81,93.2,11.41
Torbay,90,CA,1563064562,93,47.66,-52.73,54.0,9.17
Weihai,0,CN,1563064562,33,37.5,122.11,84.0,5.01
Erzin,40,TR,1563064563,73,36.95,36.2,77.0,14.99
Jiwani,100,PK,1563064563,82,25.05,61.74,82.85,12.93
Lorengau,100,PG,1563064233,77,-2.02,147.27,81.95,10.89
Berlevag,98,NO,1563064302,82,70.86,29.09,44.51,6.35
Iqaluit,40,CA,1563064563,81,63.75,-68.52,46.4,10.29
Kayerkan,90,RU,1563064563,100,69.35,87.76,50.0,6.71
Tilichiki,70,RU,1563064564,52,60.47,166.1,70.25,1.83
Nenjiang,97,CN,1563064564,84,49.17,125.23,70.07,4.09
Tarut,0,SA,1563064564,22,26.57,50.06,93.2,5.82
Victor,1,US,1563064564,26,43.6,-111.11,82.4,14.99
Xique-Xique,7,BR,1563064565,65,-10.82,-42.73,78.35,18.68
Yar-Sale,100,RU,1563064303,83,66.83,70.83,52.79,16.96
Cherskiy,68,RU,1563064565,62,68.75,161.3,48.47,16.08
Pevek,100,RU,1563064565,97,69.7,170.27,34.43,11.54
Zeya,25,RU,1563064565,54,53.74,127.27,73.85,3.89
Kerouane,96,GN,1563064566,94,12.23,-12.34,74.03,5.84
Bubaque,84,GW,1563064233,80,11.28,-15.83,79.79,10.85
Amuntai,87,ID,1563064566,79,-2.42,115.25,74.93,1.57
Bonfim,17,GY,1563064262,78,3.36,-59.84,78.35,7.7
Mana,14,NG,1563064566,61,13.03,5.27,83.03,9.15
Tadine,91,NC,1563064567,76,-21.55,167.88,73.13,2.75
Wasilla,90,US,1563064023,60,61.58,-149.44,69.8,3.36
Prieska,0,ZA,1563064567,22,-29.67,22.74,57.47,11.54
Puerto,90,AR,1563064281,100,-51.62,-69.23,33.8,4.7
Encantado,90,BR,1563064567,96,-29.24,-51.88,61.0,4.27
Gobabis,0,NA,1563064567,28,-22.45,18.97,46.4,1.12
Paamiut,30,GL,1563064268,91,61.99,-49.67,42.35,3.27
Murray,1,US,1563064463,28,40.67,-111.89,87.01,18.34
Fort,100,IN,1563064568,91,17.96,79.61,75.29,3.69
College,20,US,1563064568,44,64.86,-147.8,78.8,5.82
Kvitok,100,RU,1563064568,64,56.08,98.48,62.69,2.08
Chuy,72,UY,1563064568,87,-33.69,-53.46,51.17,9.13
Makaha,40,US,1563064569,46,21.47,-158.22,89.6,16.11
Herat,0,AF,1563064569,16,34.35,62.22,78.71,13.27
Najran,0,SA,1563064569,17,17.54,44.22,82.4,4.47
Kyabe,36,TD,1563064569,90,9.45,18.94,72.77,3.2
Victoria,75,BN,1563064202,88,5.28,115.24,78.8,2.24
Kaitangata,100,NZ,1563064232,68,-46.28,169.85,50.0,4.0
Abadzekhskaya,20,RU,1563064570,87,44.39,40.22,53.51,4.43
San,100,ML,1563064284,74,13.3,-4.9,79.07,6.67
Mtwara,20,TZ,1563064570,94,-10.28,40.18,71.6,11.41
Rincon,75,PA,1563064570,100,8.46,-82.28,75.2,5.82
Hailey,5,US,1563064570,28,43.52,-114.32,84.2,6.93
Mozelos,75,PT,1563064571,88,41.0,-8.56,70.0,2.24
Sistranda,75,NO,1563064571,81,63.73,8.83,51.8,3.36
Krasnoturansk,40,RU,1563064571,82,54.32,91.57,64.4,4.47
Peruibe,76,BR,1563064571,79,-24.32,-47.0,65.57,3.02
Talcahuano,75,CL,1563064571,93,-36.72,-73.12,50.0,4.7
Khani,75,GE,1563064572,93,41.96,42.96,64.4,3.36
Nome,90,US,1563064572,83,30.04,-94.42,82.0,4.7
Sao,99,IN,1563064572,83,20.51,76.21,75.11,10.11
Chifeng,24,CN,1563064384,50,42.27,118.96,69.89,2.66
Haines,1,US,1563064271,29,44.91,-117.94,89.6,18.34
Metro,11,ID,1563064298,92,-5.11,105.31,71.15,4.7
Lac,100,RO,1563064573,93,44.61,23.07,63.0,8.05
Georgetown,20,GY,1563064322,88,6.8,-58.16,78.8,9.17
Suntar,85,RU,1563064573,64,62.16,117.65,70.61,5.53
Barrow,37,AR,1563064220,60,-38.31,-60.23,46.13,5.66
Geraldton,20,CA,1563064573,41,49.72,-86.95,75.2,5.82
Agadez,1,NE,1563064574,46,16.97,7.99,89.6,5.37
Resistencia,90,AR,1563064574,100,-27.45,-58.99,66.2,8.05
Pacific,75,US,1563064574,44,47.26,-122.25,79.0,4.85
Sainte-Rose,90,CA,1563064574,73,45.61,-73.79,78.01,10.29
San,100,ML,1563064002,74,13.3,-4.9,79.07,6.67
Coihaique,90,CL,1563064257,93,-45.58,-72.07,37.4,5.82
Kruisfontein,0,ZA,1563064575,84,-34.0,24.73,52.97,7.31
Santa,33,PH,1563064349,74,17.49,120.43,84.11,7.61
Vicar,0,ES,1563064575,78,36.83,-2.64,72.0,9.17
Tashtyp,100,RU,1563064575,88,52.8,89.89,58.91,2.59
Kabo,93,CF,1563064575,92,7.69,18.62,71.69,3.29
Zonguldak,63,TR,1563064576,62,41.25,31.83,69.53,6.96
Manyana,0,AU,1563064576,58,-35.26,150.51,54.0,16.11
Gazojak,0,TM,1563064576,15,41.19,61.4,84.11,9.42
Sorland,53,NO,1563064576,82,67.67,12.69,49.37,22.64
Buala,93,SB,1563064290,84,-8.15,159.59,79.43,7.65
Saint-Georges,18,CA,1563064576,70,46.12,-70.67,75.0,1.01
San,100,ML,1563064284,74,13.3,-4.9,79.07,6.67
Chute-aux-Outardes,20,CA,1563064577,93,49.12,-68.38,66.0,6.93
Kapit,91,MY,1563064577,91,2.02,112.94,74.03,1.68
Jurm,0,AF,1563064577,33,36.86,70.83,61.43,3.58
Syracuse,90,US,1563064320,57,43.05,-76.15,81.0,6.93
Nanuque,0,BR,1563064577,75,-17.84,-40.35,66.11,5.59
Morondava,0,MG,1563064578,57,-20.3,44.28,72.23,8.57
Haslev,6,DK,1563064578,93,55.33,11.96,62.6,6.93
Kanaya,0,ML,1563064578,47,16.43,-3.6,87.71,18.25
Kurumkan,0,RU,1563064578,55,54.33,110.32,58.37,3.18
Leningradskiy,82,RU,1563064578,92,69.38,178.42,40.19,13.78
Tucurui,100,BR,1563064579,76,-3.77,-49.67,75.65,3.06
Mnogovershinnyy,100,RU,1563064579,66,53.94,139.92,67.37,0.25
Santa,33,PH,1563064579,74,17.49,120.43,84.11,7.61
Shingu,75,JP,1563064278,94,33.72,135.99,77.0,1.12
Lewistown,1,US,1563064525,62,40.39,-90.15,91.0,4.23
Ribeira,90,PT,1563064580,93,41.76,-8.56,68.0,1.12
Alanya,40,TR,1563064580,94,36.55,32.0,73.4,2.24
East,98,UG,1563064319,96,3.43,31.7,64.85,0.29
Strezhevoy,30,RU,1563064580,88,60.73,77.6,66.2,2.95
Balabac,100,PH,1563064580,87,7.99,117.06,77.09,10.89
Ndjole,63,GA,1563064581,94,-0.18,10.76,72.77,3.15
Mut,9,TR,1563064581,75,36.64,33.44,60.17,1.1
Carutapera,24,BR,1563064581,84,-1.2,-46.02,76.91,6.42
Neftcala,40,AZ,1563064581,52,39.37,49.25,76.19,14.94
Davila,20,PH,1563064582,74,18.47,120.58,86.0,4.7
Buchanan,40,LR,1563064582,94,5.88,-10.05,75.2,11.03
Lagunas,18,PE,1563064582,94,-5.23,-75.68,73.85,1.54
Pergamino,80,AR,1563064582,80,-33.9,-60.57,48.99,4.29
Hofn,99,IS,1563064582,81,64.25,-15.21,44.15,11.3
Maceio,20,BR,1563064463,83,-9.67,-35.74,73.4,2.24
Rio,40,US,1563064342,62,41.11,-90.4,89.6,10.69
Fuerte,33,PH,1563064299,74,17.54,120.36,84.11,7.61
San,100,ML,1563064583,74,13.3,-4.9,79.07,6.67
Sao,99,IN,1563064300,83,20.51,76.21,75.11,10.11
Havoysund,98,NO,1563064583,75,71.0,24.66,44.6,8.05
Lohja,0,FI,1563064583,87,60.25,24.07,55.0,5.82
Yerbogachen,9,RU,1563064584,60,61.28,108.01,71.33,0.27
Lebu,90,ET,1563064584,93,8.96,38.73,55.4,6.93
Naze,90,NG,1563064253,96,5.43,7.07,72.41,2.91
Pisco,90,PE,1563064584,82,-13.71,-76.2,62.6,14.99
Khandyga,41,RU,1563064249,51,62.65,135.58,77.99,6.15
Lumina,0,RO,1563064584,82,44.29,28.57,61.0,3.36
Tortoli,0,IT,1563064584,21,39.93,9.66,66.29,6.76
Manggar,60,ID,1563064315,81,-2.88,108.27,76.19,3.89
Longyearbyen,75,NO,1563064218,86,78.22,15.63,37.4,11.41
Vardo,1,US,1563064585,57,39.62,-77.74,86.0,4.7
Kallithea,20,GR,1563064585,78,37.96,23.7,75.99,2.01
Hasaki,75,JP,1563064585,100,35.73,140.83,69.8,10.29
Cockburn,0,AU,1563064586,70,-32.08,141.0,48.2,10.29
Tautira,20,PF,1563064586,70,-17.73,-149.15,84.2,11.41
Isangel,75,VU,1563064295,65,-19.55,169.27,82.4,9.17
Cap,0,FR,1563064586,93,49.27,-1.21,61.0,3.36
Jizan,40,SA,1563064586,50,16.89,42.56,95.0,4.7
Kysyl-Syr,100,RU,1563064586,85,63.9,122.77,66.11,3.58
Farmington,1,US,1563064498,15,36.73,-108.21,93.2,17.22
Taoudenni,27,ML,1563064587,15,22.68,-3.98,99.23,12.62
Yaan,77,NG,1563064587,95,7.38,8.57,73.31,4.5
Ocampo,61,MX,1563064587,34,27.32,-102.4,82.85,9.98
Vestmannaeyjar,100,IS,1563064587,95,63.44,-20.27,51.53,4.0
Yining,66,CN,1563064588,95,29.04,114.56,72.77,1.07
Dingle,100,PH,1563064588,81,11.0,122.67,77.99,2.75
Nirgua,100,VE,1563064588,94,10.15,-68.57,73.49,1.63
Tevriz,38,RU,1563064588,88,57.51,72.4,66.29,2.13
Timbuktu,77,ML,1563064589,46,16.77,-3.01,87.17,21.3
Itapecerica,0,BR,1563064589,58,-20.47,-45.13,63.05,2.08
Valentigney,0,CH,1563064590,82,47.46,6.83,60.01,3.36
Nioro,85,GM,1563064590,66,13.79,-15.05,81.23,9.78
Vangaindrano,47,MG,1563064590,82,-23.35,47.6,63.41,1.7
Ponta,86,BR,1563064590,88,-0.53,-65.05,75.29,2.15
Kavaratti,89,IN,1563064591,74,10.57,72.64,83.57,11.7
Bonthe,100,SL,1563064591,91,7.53,-12.5,75.29,11.07
Velsk,27,RU,1563064591,96,61.07,42.1,44.15,3.02
Kuytun,97,RU,1563064591,71,54.34,101.51,61.25,4.56
Gemena,33,CD,1563064591,96,3.25,19.78,69.71,0.92
Luanda,21,AO,1563064592,88,-8.83,13.24,69.8,9.17
Bardstown,1,US,1563064592,58,37.81,-85.47,91.0,5.21
Portland,40,US,1563064064,64,43.66,-70.25,75.99,10.29
Marsaxlokk,0,MT,1563064592,94,35.84,14.54,78.8,10.29
Enshi,7,CN,1563064592,86,30.29,109.48,67.91,0.98
Bahia,10,BR,1563064593,93,-3.55,-40.25,70.97,3.78
Zemetchino,0,RU,1563064593,96,53.5,42.62,50.81,6.85
Novyy,0,RU,1563064593,87,55.81,37.29,55.4,1.97
Port,72,CD,1563064593,61,-7.04,29.76,63.05,3.53
Nikolskoye,75,RU,1563064593,81,59.7,30.79,51.8,2.98
Zeerust,0,ZA,1563064593,42,-25.54,26.07,46.4,8.05
Deputatskiy,97,RU,1563064251,77,69.3,139.9,54.95,5.35
Burnie,100,AU,1563064594,72,-41.05,145.91,52.0,18.01
Leua,0,AO,1563064594,35,-11.65,20.45,57.47,4.36
Bonavista,100,CA,1563064594,78,48.65,-53.11,56.03,14.16
Cayenne,6,GF,1563064204,94,4.94,-52.33,77.0,3.33
Santa,33,PH,1563064347,74,17.49,120.43,84.11,7.61
Ilulissat,40,GL,1563064315,76,69.22,-51.1,48.2,5.82
Saint-Augustin,75,CA,1563064595,57,45.63,-73.98,77.0,19.46
Changuinola,100,PA,1563064595,95,9.44,-82.52,69.71,0.58
Mobile,100,US,1563064558,94,30.69,-88.04,84.99,5.82
Yulara,0,AU,1563064595,53,-25.24,130.99,50.0,14.99
Chadiza,0,ZM,1563064595,64,-14.06,32.43,56.39,12.66
Luganville,75,VU,1563064596,83,-15.51,167.18,80.6,10.29
Hamilton,75,CA,1563064469,73,43.26,-79.87,81.0,8.05
High,1,US,1563064313,83,33.61,-95.75,93.2,5.82
Potiskum,0,NG,1563064596,61,11.71,11.08,79.61,9.48
Grayvoron,0,UA,1563064596,82,50.48,35.67,57.2,2.24
Pacifica,20,US,1563064596,63,37.61,-122.49,77.0,19.46
Edd,57,ER,1563064597,52,13.93,41.69,88.43,4.79
Kunashak,0,RU,1563064597,82,55.7,61.55,68.0,6.71
Leeton,40,AU,1563064597,93,-34.55,146.4,42.8,10.29
Gombe,10,NG,1563064597,82,10.28,11.16,74.21,10.49
Fort-Shevchenko,0,KZ,1563064597,67,44.51,50.26,77.99,20.62
Kajaani,0,FI,1563064562,93,64.22,27.73,44.6,1.12
Romny,3,UA,1563064598,87,50.74,33.49,53.51,2.68
Rosarito,75,CO,1563064598,69,4.91,-75.23,78.8,3.36
Ostersund,47,SE,1563064598,87,63.18,14.64,50.0,9.17
Ahome,5,MX,1563064598,46,25.92,-109.18,91.99,10.29
Qui,20,BR,1563064599,83,-10.97,-37.6,77.0,10.29
Ugoofaaru,66,MV,1563064287,69,5.67,73.0,83.39,3.62
Nantucket,1,US,1563064337,69,41.28,-70.1,75.2,10.29
Upington,0,ZA,1563064599,27,-28.46,21.24,53.6,3.36
Mehamn,98,NO,1563064599,79,71.03,27.85,43.43,4.61
Tongliao,66,CN,1563064599,57,43.61,122.27,77.27,5.7
Husavik,0,CA,1563064600,35,50.56,-96.99,82.99,4.59
Talnakh,90,RU,1563064600,100,69.49,88.39,50.0,6.71
Igurubi,45,TZ,1563064600,83,-4.0,33.71,62.69,2.13
Port,72,CD,1563064600,61,-7.04,29.76,63.05,3.53
